Название,Активность,ID,Внешний код,Основное изображение (новый),Основное изображение
Лоток пластиковый H011A,Да,41077,7e896ae8-c82d-11e2-8aa4-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски с санитарным оснащением/Н011А/Лоток-пластиковый-L011A.jpg
Блок питания 24V 400 VA для светильники L735,Да,41078,e1bfc656-c858-11e2-8aa4-00259018c255,,
Компрессор поршневой ZW1100A для концентратора LF-H-10A,Да,41075,8fe3b55c-beb7-11e2-8aa4-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-1L/kompressor-porshnevoy-ZW-102-A-220х220.jpg
Колесо переднее к коляске FS108LA,Да,41076,7505f8d9-c444-11e2-8aa4-00259018c255,,
Колесо переднее с вилкой для кресла-коляски Н 001,Да,41074,b1b187ca-be05-11e2-8aa4-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Коляски/Механические/Н 001/колесо-для-инвалидного-кресла-H001-(переднее-с-вилкой).jpg
Компрессор к матрасу противопролежневому,Да,41279,4254706a-393c-11e2-8a4e-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/Матрасы/Компрессор-к-матрасу-противопролежневому.jpg
"Компрессор ""статик"" к матрасу противопролежневому",Да,41280,4254706c-393c-11e2-8a4e-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/Матрасы/Компрессор-статик-к-матрасу-противопролежневому.jpg
"Средство реабилитации инвалидов: костыли ""Armed"" FS937L (с УПС)",Да,41278,9cd01892-354e-11e2-8a4e-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS937 s yps/FS937L с УПС_1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS937 s yps/FS937L с УПС_1.jpg
Средство реабилитации инвалидов: трость Armed FS926,Да,40862,91f0c05d-0931-11e2-8059-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/926/926.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/926/926.jpg
Светильник операционный Armed L734 с принадлежностями,Да,41277,85395eea-f398-4d08-89e3-7911d83125ef,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/L734/L734.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/L734/L734.jpg
